product_slug,slug,name,category,summary,status,sort_order,source_note,source_url
acme-flow-bpm,acme-flow-routing,Acme Flow Routing,route,Маршрутизация задач и приоритетные очереди,active,10,curated starter set,
acme-flow-bpm,acme-flow-rules,Acme Flow Rules,decide,Движок бизнес-правил и автоматические решения,active,20,curated starter set,
acme-flow-bpm,acme-flow-sla,Acme Flow SLA,monitor,Контроль сроков и эскалации,active,30,curated starter set,
acme-flow-bpm,acme-flow-notify,Acme Flow Notify,collaborate,Уведомления и оповещения участников,active,40,curated starter set,
docuwise-ecm,docuwise-capture,DocuWise Capture,capture,Приём и захват входящих документов,active,10,curated starter set,
docuwise-ecm,docuwise-ocr,DocuWise OCR,capture,Распознавание и извлечение полей из документов,active,20,curated starter set,
docuwise-ecm,docuwise-docgen,DocuWise DocGen,generate,Генерация документов по шаблонам,active,30,curated starter set,
docuwise-ecm,docuwise-audit,DocuWise Audit,monitor,Журналирование действий и аудит,active,40,curated starter set,
knowlink-platform,knowlink-search,KnowLink Search,retrieve,Семантический поиск по знаниям,active,10,curated starter set,
knowlink-platform,knowlink-base,KnowLink Base,retrieve,Структурированная база знаний,active,20,curated starter set,
knowlink-platform,knowlink-copilot,KnowLink Copilot,generate,Черновики ответов на базе знаний,active,30,curated starter set,
insightgrid-analytics,insightgrid-dashboards,InsightGrid Dashboards,analyze,Дашборды показателей процесса,active,10,curated starter set,
insightgrid-analytics,insightgrid-classify,InsightGrid Classify,classify,Классификация и типизация обращений,active,20,curated starter set,
guardline-suite,guardline-scoring,GuardLine Scoring,decide,Скоринг и скрининг объектов,active,10,curated starter set,
guardline-suite,guardline-rules,GuardLine Rules,decide,Правила комплаенс-контроля,active,20,curated starter set,
guardline-suite,guardline-audit,GuardLine Audit,monitor,Неизменяемый журнал контроля,active,30,curated starter set,
servicedesk-pro-csm,sdpro-cases,ServiceDesk Cases,decide,Ведение кейсов от приёма до закрытия,active,10,curated starter set,
servicedesk-pro-csm,sdpro-portal,ServiceDesk Portal,collaborate,Портал самообслуживания и уведомления,active,20,curated starter set,
